Ville,Type,Surface,NbrPieces,NbrChambres,NbrSdb,DPE,Prix
Fontenay-le-Fleury,Appartement,55,2,1,1,-,160000
Chelles,-,-,-,-,-,-,560000
Gournay-sur-Marne,Maison,100,5,3,2,-,350000
Angerville,Maison,50,3,2,1,-,22000
Montigny-sur-Loing,Maison,135,8,5,1,-,350000
Savigny-le-Temple,Maison,145,6,4,2,-,262000
Vendrest,Maison,93,4,3,1,-,240000
Vaux-le-Pénil,Maison,70,4,2,1,-,130000
Créteil,Appartement,77,3,3,1,-,250000
Gagny,Maison,84,5,4,1,-,280000
Pontoise,Maison,75,5,3,1,-,255000
Ecquevilly,Appartement,56,2,1,1,-,170000
Paris 1er,Appartement,12,1,-,1,-,147000
Paris 13ème,Appartement,9,-,-,-,-,89000
Pontault-Combault,Appartement,55,2,1,1,-,181000
Montmagny,Maison,174,6,3,2,-,410000
Choisy-le-Roi,Appartement,82,4,3,1,-,249000
Plaisir,Appartement,60,3,2,1,-,195000
Paris 18ème,Appartement,80,3,2,1,-,390000
Aulnay-sous-Bois,Appartement,96,4,3,2,-,178000
Clamart,Appartement,28,2,1,1,-,138000
Écouen,Appartement,45,2,1,1,-,135000
Parmain,Maison,110,5,4,1,-,220000
Argenteuil,Appartement,122,4,2,1,-,375000
Saints,Maison,95,5,3,1,-,228000
Limeil-Brévannes,Appartement,90,5,3,1,-,210000
Colombes,Maison,90,4,3,1,-,500000
Ville-Saint-Jacques,Maison,54,3,2,1,-,25000
Courbevoie,Appartement,47,2,1,1,-,190000
Nogent-sur-Marne,Appartement,76,4,3,1,-,280000
Chelles,Maison,150,-,4,2,-,200000
Sarcelles,Maison,-,5,3,2,-,345000
Pontoise,Appartement,131,6,5,2,-,250000
Vigneux-sur-Seine,Appartement,50,2,1,1,-,126000
